Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Central African Republic,2020      ,6.611111,20.939444,14,14,0.5,0.5,30,0.5,0.5,6.00,6.00,0.50,0.50,12.00,0.50,0.50,24.00,24.00,0.50,0.50,53.00,0.50,0.50
Chad,2020      ,15.454166,18.732207,10,10,0.5,0.5,16,0.5,0.5,3.00,3.00,0.50,0.50,5.00,0.50,0.50,32.00,32.00,0.50,0.50,53.00,3.00,2.00
Chile,2020      ,-35.675147,-71.542969,79,3,3,73,2,9,89,0.00,0.00,0.00,16.00,14.00,66.00,20.00,81.00,0.50,0.50,81.00,0.50,2.00,98.00
China,2020      ,35.86166,104.195397,70,3,2,64,17,11,67,44.00,6.00,0.50,38.00,35.00,15.00,40.00,86.00,2.00,4.00,80.00,6.00,8.00,84.00
"China, Hong Kong SAR",2020      ,22.396428,114.109497,86,2,2,83,3,0,93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,2.00,2.00,83.00,3.00,0.00,93.00
"China, Macao SAR",2020      ,-,-,67,0.5,0.5,67,0.5,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,0.50,0.50,67.00,0.50,0.00,100.00
Colombia,2020      ,4.570868,-74.297333,18,5,0.5,12,3,16,78,0.00,0.00,0.00,2.00,11.00,64.00,13.00,17.00,2.00,0.50,15.00,1.00,5.00,93.00
Congo,2020      ,-0.228021,15.827659,0,0,0,0,38,15,1,0.00,0.00,0.00,0.00,14.00,0.50,0.50,0.00,0.00,0.00,0.00,50.00,22.00,2.00
Cook Islands,2020      ,-21.236736,-159.777671,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,2020      ,9.748917,-83.753428,30,21,0.5,9,0.5,77,21,37.00,34.00,0.50,2.00,0.50,92.00,5.00,29.00,18.00,0.50,11.00,0.50,74.00,25.00
Côte d'Ivoire,2020      ,7.539989,-5.54708,0,0,0,0,33,17,7,0.00,0.00,0.00,0.00,27.00,7.00,1.00,0.00,0.00,0.00,0.00,39.00,27.00,12.00
Croatia,2020      ,45.1,15.2,68,11,9,47,5,36,58,0.00,0.00,0.00,23.00,8.00,61.00,29.00,76.00,6.00,5.00,65.00,3.00,17.00,79.00
