Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Pakistan,2020      ,30.375321,69.345116,0,0,0,0,21,30,27,0.00,0.00,0.00,0.00,29.00,38.00,7.00,0.00,0.00,0.00,0.00,9.00,18.00,62.00
Palau,2020      ,7.51498,134.58252,0,0,0,0,0.5,29,71,0.00,0.00,0.00,0.00,0.50,56.00,43.00,0.00,0.00,0.00,0.00,0.50,22.00,78.00
Panama,2020      ,8.537981,-80.782127,0,0,0,0,10,43,34,0.00,0.00,0.00,0.00,23.00,42.00,4.00,0.00,0.00,0.00,0.00,5.00,43.00,48.00
Papua New Guinea,2020      ,-6.314993,143.95555,0,0,0,3,12,5,7,0.00,0.00,0.00,1.00,11.00,4.00,3.00,28.00,7.00,4.00,17.00,13.00,10.00,35.00
Paraguay,2020      ,-23.442503,-58.443832,60,56,0.5,4,43,45,8,71.00,71.00,0.50,0.50,62.00,28.00,0.50,54.00,47.00,0.50,6.00,31.00,55.00,14.00
Peru,2020      ,-9.189967,-75.015152,53,5,4,50,9,5,74,0.00,0.00,0.00,14.00,23.00,22.00,20.00,64.00,2.00,2.00,60.00,5.00,0.50,88.00
Philippines,2020      ,12.879721,121.774017,61,58,0.5,3,16,70,7,66.00,64.00,0.50,2.00,22.00,64.00,4.00,55.00,51.00,0.50,4.00,10.00,76.00,10.00
Poland,2020      ,51.919438,19.145136,91,9,18,64,0.5,36,64,0.00,0.00,0.00,28.00,0.50,72.00,28.00,94.00,3.00,3.00,88.00,0.50,11.00,88.00
Portugal,2020      ,39.399872,-8.224454,85,10,10,65,6,29,65,0.00,0.00,0.00,31.00,9.00,59.00,31.00,93.00,5.00,5.00,82.00,4.00,14.00,82.00
Puerto Rico,2020      ,18.220833,-66.590149,33,0.5,0.5,33,0.5,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Qatar,2020      ,25.354826,51.183884,97,0.5,0.5,97,0.5,3,97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Republic of Korea,2020      ,35.907757,127.766922,100,0.5,0.5,100,0.5,0.5,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Republic of Moldova,2020      ,47.411631,28.369885,0,0,0,28,47,9,34,0.00,0.00,0.00,3.00,69.00,10.00,4.00,79.00,9.00,9.00,61.00,17.00,8.00,75.00
Réunion,2020      ,-21.115141,55.536384,0,0,0,0,3,45,51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Romania,2020      ,45.943161,24.96676,83,15,15,53,31,1,55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Russian Federation,2020      ,61.52401,105.318756,61,6,4,51,10,3,77,52.00,16.00,11.00,25.00,30.00,5.00,37.00,64.00,2.00,1.00,60.00,3.00,2.00,90.00
Rwanda,2020      ,-1.940278,29.873888,0,0,0,0,83,0.5,1,54.00,54.00,0.50,0.50,83.00,0.50,0.50,0.00,0.00,0.00,0.00,82.00,1.00,6.00
Saint Barthelemy,2020      ,-,-,0,0,0,0,7,88,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,88.00,6.00
Saint Helena,2020      ,-24.143474,-10.030696,0,0,0,0,0.5,48,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Lucia,2020      ,13.909444,-60.978893,0,0,0,0,7,82,5,0.00,0.00,0.00,0.00,8.00,82.00,4.00,0.00,0.00,0.00,0.00,5.00,82.00,11.00
Saint Martin (French part),2020      ,-,-,0,0,0,0,0.5,40,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,40.00,60.00
Saint Pierre and Miquelon,2020      ,46.941936,-56.27111,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samoa,2020      ,-13.759029,-172.104629,48,48,0.5,0.5,10,89,0.5,50.00,50.00,0.50,0.50,11.00,88.00,0.50,37.00,36.00,0.50,0.50,3.00,96.00,0.50
San Marino,2020      ,43.94236,12.457777,70,0.5,0.5,70,0.5,15,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sao Tome and Principe,2020      ,0.18636,6.613081,35,27,0.5,8,29,7,17,30.00,25.00,0.50,6.00,26.00,4.00,13.00,36.00,28.00,0.50,8.00,30.00,8.00,19.00
Saudi Arabia,2020      ,23.885942,45.079162,59,0.5,0.5,59,0.5,41,59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Senegal,2020      ,14.497401,-14.452362,24,22,0.5,2,29,37,8,24.00,24.00,0.50,0.50,30.00,25.00,0.50,24.00,20.00,0.50,4.00,28.00,49.00,17.00
Serbia,2020      ,44.016521,21.005859,18,10,0.5,8,1,39,57,20.00,17.00,0.50,3.00,0.50,76.00,19.00,17.00,4.00,0.50,13.00,2.00,11.00,86.00
Seychelles,2020      ,-4.679574,55.491977,0,0,0,0,0.5,82,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sierra Leone,2020      ,8.460555,-11.779889,14,14,0.5,0.5,48,6,0.5,10.00,10.00,0.50,0.50,35.00,0.50,0.50,20.00,20.00,0.50,0.50,66.00,13.00,1.00
Singapore,2020      ,1.352083,103.819836,100,0.5,0.5,100,0.5,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.50,0.50,100.00,0.50,0.00,100.00
Slovakia,2020      ,48.669026,19.699024,82,8,8,65,4,27,69,75.00,12.00,12.00,51.00,6.00,39.00,55.00,88.00,5.00,5.00,78.00,3.00,16.00,82.00
Slovenia,2020      ,46.151241,14.995463,72,0.5,0.5,72,0.5,27,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solomon Islands,2020      ,-9.64571,160.156194,0,0,0,0,20,13,7,0.00,0.00,0.00,0.00,16.00,4.00,2.00,0.00,0.00,0.00,0.00,33.00,40.00,23.00
Somalia,2020      ,5.152149,46.199616,32,29,0.5,2,46,4,6,21.00,20.00,0.50,1.00,29.00,2.00,3.00,44.00,41.00,0.50,3.00,66.00,7.00,10.00
South Africa,2020      ,-30.559482,22.937506,0,0,0,0,30,3,61,0.00,0.00,0.00,0.00,77.00,6.00,4.00,0.00,0.00,0.00,0.00,7.00,1.00,88.00
South Sudan,2020      ,12.862807,30.217636,0,0,0,0,23,0.5,0.5,0.00,0.00,0.00,0.00,15.00,0.50,0.50,0.00,0.00,0.00,0.00,57.00,2.00,2.00
Spain,2020      ,40.463667,-3.74922,96,2,2,92,4,1,95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sri Lanka,2020      ,7.873054,80.771797,0,0,0,0,94,2,2,0.00,0.00,0.00,0.00,97.00,1.00,0.50,0.00,0.00,0.00,0.00,84.00,4.00,9.00
Sudan,2020      ,12.862807,30.217636,0,0,0,0,38,6,1,0.00,0.00,0.00,0.00,30.00,0.50,0.50,0.00,0.00,0.00,0.00,53.00,16.00,3.00
Suriname,2020      ,3.919305,-56.027783,25,24,0.5,1,3,91,2,34.00,33.00,0.50,0.50,8.00,81.00,2.00,21.00,19.00,0.50,1.00,0.50,96.00,3.00
Sweden,2020      ,60.128161,18.643501,95,4,4,87,0.5,11,88,91.00,8.00,8.00,74.00,0.50,25.00,75.00,96.00,3.00,3.00,89.00,0.50,10.00,90.00
Switzerland,2020      ,46.818188,8.227512,100,0.5,0.5,100,0.5,0,100,99.00,0.50,0.50,98.00,0.50,2.00,98.00,100.00,0.50,0.50,100.00,0.50,0.00,100.00
Syrian Arab Republic,2020      ,34.802075,38.996815,0,0,0,0,17,7,76,0.00,0.00,0.00,0.00,33.00,14.00,52.00,0.00,0.00,0.00,0.00,4.00,1.00,95.00
Tajikistan,2020      ,38.861034,71.276093,0,0,0,0,80,3,16,59.00,59.00,0.50,0.50,95.00,4.00,0.50,0.00,0.00,0.00,0.00,40.00,0.50,58.00
Thailand,2020      ,15.870032,100.992541,26,19,0.5,7,3,83,14,22.00,18.00,0.50,4.00,5.00,87.00,8.00,30.00,20.00,0.50,9.00,2.00,79.00,19.00
Timor-Leste,2020      ,-8.874217,125.727539,0,0,0,0,38,17,11,0.00,0.00,0.00,0.00,38.00,10.00,8.00,0.00,0.00,0.00,0.00,38.00,33.00,18.00
Togo,2020      ,8.619543,0.824782,9,9,0.5,0.5,23,22,0.5,7.00,7.00,0.50,0.50,15.00,4.00,0.50,12.00,12.00,0.50,0.50,34.00,47.00,0.50
Tokelau,2020      ,-8.967363,-171.855881,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,2020      ,-21.178986,-175.198242,34,32,0.5,1,9,87,3,37.00,36.00,0.50,1.00,11.00,85.00,3.00,23.00,22.00,0.50,1.00,2.00,95.00,2.00
Trinidad and Tobago,2020      ,10.691803,-61.222503,0,0,0,0,6,73,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tunisia,2020      ,33.886917,9.537499,81,21,0.5,59,22,17,60,63.00,53.00,0.50,10.00,51.00,38.00,10.00,89.00,8.00,1.00,80.00,9.00,8.00,82.00
Turkey,2020      ,38.963745,35.243322,78,5,4,69,11,0,89,80.00,19.00,15.00,46.00,38.00,0.00,61.00,78.00,1.00,0.50,76.00,2.00,0.00,98.00
Turkmenistan,2020      ,38.969719,59.556278,0,0,0,0,69,2,29,0.00,0.00,0.00,0.00,98.00,1.00,0.50,0.00,0.00,0.00,0.00,43.00,3.00,54.00
Uganda,2020      ,1.373333,32.290275,0,0,0,0.5,35,2,0.5,16.00,16.00,0.50,0.50,27.00,0.50,0.50,0.00,0.00,0.00,0.50,58.00,7.00,2.00
Ukraine,2020      ,48.379433,31.16558,72,24,15,33,48,0.5,51,0.00,0.00,0.00,2.00,95.00,3.00,3.00,69.00,13.00,9.00,47.00,27.00,0.50,73.00
United Arab Emirates,2020      ,23.424076,53.847818,100,1,1,96,3,0.5,97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Kingdom,2020      ,55.378051,-3.435973,98,0.5,0.5,97,0.5,2,98,94.00,3.00,3.00,88.00,0.50,12.00,88.00,99.00,0.50,0.50,99.00,0.50,0.50,100.00
United Republic of Tanzania,2020      ,-6.369028,34.888822,26,26,0.5,0.5,40,10,0.5,22.00,22.00,0.50,0.50,26.00,3.00,0.50,35.00,34.00,0.50,0.50,67.00,21.00,1.00
United States Virgin Islands,2020      ,18.335765,-64.896335,0,0,0,0,0.5,57,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States of America,2020      ,37.09024,-95.712891,98,7,7,82,0.5,15,85,0.00,0.00,0.00,35.00,0.50,63.00,36.00,97.00,3.00,2.00,92.00,0.50,5.00,95.00
Uruguay,2020      ,-32.522779,-55.765835,0,0,0,0,4,33,61,0.00,0.00,0.00,0.00,12.00,85.00,2.00,0.00,0.00,0.00,0.00,4.00,31.00,64.00
Uzbekistan,2020      ,41.377491,64.585262,0,0,0,0,73,0.5,27,0.00,0.00,0.00,0.00,100.00,0.50,0.50,0.00,0.00,0.00,0.00,47.00,0.50,52.00
Vanuatu,2020      ,-15.376706,166.959158,0,0,0,0,44,21,3,0.00,0.00,0.00,0.00,55.00,3.00,2.00,0.00,0.00,0.00,0.00,13.00,70.00,8.00
Venezuela (Bolivarian Republic of),2020      ,6.42375,-66.58973,23,0.5,0.5,23,0.5,6,90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Viet Nam,2020      ,14.058324,108.277199,0,0,0,0,21,71,1,0.00,0.00,0.00,0.00,32.00,57.00,0.50,0.00,0.00,0.00,0.00,1.00,95.00,2.00
Wallis and Futuna Islands,2020      ,-13.768752,-177.156097,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza Strip,2020      ,24.215527,-12.885834,67,23,5,39,30,17,53,48.00,43.00,0.50,5.00,56.00,33.00,10.00,72.00,17.00,7.00,49.00,22.00,12.00,66.00
Yemen,2020      ,15.552727,48.516388,19,8,2,21,4,24,30,0.00,0.00,0.00,0.50,7.00,30.00,7.00,61.00,3.00,3.00,54.00,0.50,14.00,69.00
Zambia,2020      ,-13.133897,27.849332,0,0,0,0,36,8,8,24.00,24.00,0.50,0.50,30.00,1.00,0.50,0.00,0.00,0.00,0.00,43.00,15.00,18.00
Zimbabwe,2020      ,-19.015438,29.154857,26,22,0.5,4,33,6,26,30.00,30.00,0.50,0.50,46.00,3.00,1.00,16.00,5.00,0.50,11.00,7.00,12.00,78.00
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
